City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
446,coquimbo,-29.9533,-71.3436,291.0,82,40,6.17,CL,1674083011
447,kitimat,54.0524,-128.6534,276.43,28,90,0.89,CA,1674082832
448,kieta,-6.2167,155.6333,301.62,79,97,4.9,PG,1674083125
449,capoterra,39.1763,8.9718,279.56,81,20,3.09,IT,1674083126
450,rocha,-34.4833,-54.3333,294.63,76,99,4.68,UY,1674082872
451,singkang,2.1006,102.7994,294.48,96,84,1.65,MY,1674083128
452,xichang,27.8964,102.2634,272.71,72,0,0.71,CN,1674083129
453,nome,64.5011,-165.4064,250.19,70,0,3.6,US,1674083130
454,tongliao,43.6125,122.2653,261.16,76,6,2.8,CN,1674083131
455,mayo,38.8876,-76.5119,283.99,65,0,3.6,US,1674083132
456,torbat-e jam,35.244,60.6225,271.37,79,26,1.33,IR,1674083133
457,sovetskiy,61.3614,63.5842,258.06,98,42,1.33,RU,1674083134
458,zonguldak,41.25,31.8333,280.05,69,1,2.93,TR,1674083135
459,cascais,38.6979,-9.4215,283.99,77,98,10.28,PT,1674083136
460,bela,25.9333,81.9833,280.51,54,0,1.56,IN,1674083137
461,prabumulih,-3.45,104.25,295.45,98,100,1.69,ID,1674083137
462,northam,51.0333,-4.2167,277.93,89,77,6.86,GB,1674083139
463,marzuq,14.4,46.4667,288.27,53,8,1.75,YE,1674083140
464,horsham,51.064,-0.3272,275.36,87,0,1.54,GB,1674083141
465,stara synyava,49.6032,27.6191,279.05,75,25,3.04,UA,1674083141
466,gramalote,7.8875,-72.7975,291.71,97,58,0.57,CO,1674083142
467,korla,41.7597,86.1469,258.58,85,22,0.54,CN,1674083143
468,malayal,7.208,121.942,298.79,84,88,1.57,PH,1674083144
469,bayonet point,28.3267,-82.6834,295.57,72,100,3.17,US,1674083144
470,suzhou,31.3114,120.6181,275.34,55,6,1.39,CN,1674083145
471,pilar,-9.5972,-35.9567,297.11,84,40,2.05,BR,1674083146
472,pandan,14.0453,124.1694,297.44,94,100,7.57,PH,1674083147
473,dwarka,22.2394,68.9678,292.96,52,76,3.92,IN,1674083147
474,valparaiso,-33.0393,-71.6273,293.28,88,0,3.6,CL,1674083148
475,thinadhoo,0.5333,72.9333,300.28,76,31,4.41,MV,1674083149
476,viesca,25.35,-102.8,297.93,9,5,4.02,MX,1674083149
477,severobaykalsk,55.65,109.3167,243.52,76,99,1.82,RU,1674083150
478,ico,-6.4011,-38.8622,297.48,80,94,1.46,BR,1674082900
479,lafia,8.4833,8.5167,299.9,21,84,2.05,NG,1674083151
480,bestobe,52.4994,73.0975,257.92,68,10,4.54,KZ,1674083152
481,pleszew,51.8964,17.7855,274.38,99,100,1.15,PL,1674082866
482,ouro preto do oeste,-10.7481,-62.2158,294.29,99,100,1.35,BR,1674083104
483,ayna,-12.65,-73.9167,291.02,84,99,0.66,PE,1674083154
